"filename", "language", "TypeScript", "Svelte", "HTML", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Ignore", "Prisma", "SQL", "comment", "blank", "total"
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-header.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-heading.svelte", "Svelte", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-months.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-next-button.svelte", "Svelte", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-prev-button.svelte", "Svelte", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar.svelte", "Svelte", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 31
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/card/card-content.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/card/card-description.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/card/card-footer.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/card/card-header.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/card/card-title.svelte", "Svelte", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/card/card.svelte", "Svelte", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/card/index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 25
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/carousel/carousel-content.svelte", "Svelte", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/carousel/carousel-item.svelte", "Svelte", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/carousel/carousel-next.svelte", "Svelte", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/carousel/carousel-previous.svelte", "Svelte", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/carousel/carousel.svelte", "Svelte", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 90
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/carousel/context.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 53
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/carousel/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/checkbox/checkbox.svelte", "Svelte", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/checkbox/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer-content.svelte", "Svelte", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer-description.svelte", "Svelte", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer-footer.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer-header.svelte", "Svelte", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer-nested.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer-overlay.svelte", "Svelte", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer-title.svelte", "Svelte", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/drawer/drawer.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
